iter	Logloss
0	0.6833046183
1	0.6736509331
2	0.6642003432
3	0.6569737159
4	0.648824801
5	0.6379286721
6	0.6310977489
7	0.6267096077
8	0.6200492382
9	0.6116694311
10	0.6045356567
11	0.5964786982
12	0.5910196801
13	0.5857218976
14	0.5802284752
15	0.5742746815
16	0.5693112041
17	0.5635253489
18	0.5562565575
19	0.5492091676
20	0.5408008993
21	0.5354372611
22	0.5287958533
23	0.5208685746
24	0.5131304016
25	0.5068313976
26	0.5028563539
27	0.4955505431
28	0.4917792827
29	0.485981668
30	0.4801890701
31	0.4734053463
32	0.4678527415
33	0.4613419125
34	0.4549754163
35	0.4498321414
36	0.4447849145
37	0.4387741288
38	0.4348641634
39	0.4290647805
40	0.4243069589
41	0.4187489152
42	0.4133079449
43	0.4079795281
44	0.4027634561
45	0.3976522088
46	0.3926493824
47	0.3893609146
48	0.3852904191
49	0.3805317233
50	0.3774036914
51	0.3728026251
52	0.368294249
53	0.3653229823
54	0.3609622916
55	0.356691425
56	0.3538735956
57	0.3497460137
58	0.3456990272
59	0.3430199226
60	0.3391006837
61	0.3352607836
62	0.3314938297
63	0.3278002093
64	0.3253462116
65	0.3229203324
66	0.3193821808
67	0.3159038673
68	0.3124878556
69	0.3091341754
70	0.3058473468
71	0.3036487798
72	0.3004541546
73	0.2973232965
74	0.29424495
75	0.2921866874
76	0.2901521126
77	0.2871993383
78	0.2852212737
79	0.2823505302
80	0.2804280818
81	0.2785267234
82	0.2766511589
83	0.2739257763
84	0.2721007119
85	0.2702919245
86	0.268507123
87	0.2667419513
88	0.2641762098
89	0.2624614388
90	0.2607614895
91	0.2590821882
92	0.2574201673
93	0.2557769269
94	0.253383562
95	0.2517845531
96	0.2502074291
97	0.2486443122
98	0.2471017788
99	0.2455788056
