iter	Passed	Remaining
0	0	59
1	0	45
2	1	46
3	1	46
4	2	40
5	2	35
6	2	35
7	3	34
8	3	33
9	3	31
10	3	30
11	4	29
12	4	27
13	4	26
14	4	25
15	4	25
16	4	24
17	5	24
18	5	24
19	6	24
20	6	24
21	6	23
22	7	23
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	8	19
31	9	19
32	9	19
33	9	18
34	9	18
35	10	18
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	16	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	19	6
76	20	6
77	20	5
78	20	5
79	20	5
80	21	4
81	21	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	27	0
